Year, State, Pollutant, Yearly Toal Max 8-hour Pollutant Concentration, Yearly Total Pollutant AQI VALUE, Yearly Total Pollutant OBS COUNT, Yearly Average Percent Complete
2005,54,Carbon monoxide,562.3,6218,25978,99.85332103
2005,55,Carbon monoxide,377.1,4232,15792,99.6969697
2005,56,Carbon monoxide,106.5,1102,7916,99.64652568
2005,72,Carbon monoxide,1073.7,12218,14224,99.84537815
2006,1,Carbon monoxide,1515.6,16965,26073,99.85018382
2006,2,Carbon monoxide,1691,19220,29122,99.62233169
2006,4,Carbon monoxide,5152.5,58634,132533,99.76838302
2006,5,Carbon monoxide,269.9,3091,8705,99.92011019
2006,6,Carbon monoxide,16763.3,188890,584203,99.39234821
2006,8,Carbon monoxide,3636.3,41450,117479,99.81545677
2006,9,Carbon monoxide,1111.5,12633,25730,99.82122905
2006,10,Carbon monoxide,358.7,4002,17042,99.73033708
2006,11,Carbon monoxide,838.6,9539,17462,99.94230769
2006,12,Carbon monoxide,5094.6,57788,175409,99.62745365
2006,13,Carbon monoxide,705.8,8055,25924,99.37074517
2006,15,Carbon monoxide,483.3,5346,20782,99.64556962
2006,16,Carbon monoxide,320.6,3651,8432,99.80965909
2006,17,Carbon monoxide,2100.9,23949,68746,99.84001394
2006,18,Carbon monoxide,2031.9,23047,67534,99.81908478
2006,19,Carbon monoxide,641.7,7103,34433,99.7705146
2006,20,Carbon monoxide,713.9,7999,28032,99.82820513
2006,21,Carbon monoxide,638.4,7285,16983,99.94632768
2006,22,Carbon monoxide,213.7,2402,9277,99.62371134
2006,23,Carbon monoxide,209.7,2101,18289,97.94987147
2006,24,Carbon monoxide,455.5,5198,16286,99.64464023
2006,25,Carbon monoxide,1014.8,11508,42282,99.53276836
2006,26,Carbon monoxide,985.7,10946,52940,99.76616915
2006,27,Carbon monoxide,1178.9,12932,60620,99.71654165
2006,29,Carbon monoxide,938.9,10465,39625,99.75951662
2006,30,Carbon monoxide,1599.4,18144,46754,99.59662577
2006,31,Carbon monoxide,541.5,6174,16930,99.77652051
2006,32,Carbon monoxide,4721.8,53623,116130,99.78840998
2006,33,Carbon monoxide,519,5902,17270,99.80305132
2006,34,Carbon monoxide,2617.2,29771,91912,99.65391621
2006,35,Carbon monoxide,1941.5,21741,81006,99.71137371
2006,36,Carbon monoxide,2221,25068,91703,99.32206914
2006,37,Carbon monoxide,1828.2,20730,59086,99.35189669
2006,39,Carbon monoxide,2941.6,33387,118834,99.70600081
2006,40,Carbon monoxide,634.7,6930,33324,99.67695621
2006,41,Carbon monoxide,1710.7,19738,38763,99.88620903
2006,42,Carbon monoxide,4071.2,44967,199168,99.80312688
2006,44,Carbon monoxide,429.7,4851,14984,98.01255887
2006,45,Carbon monoxide,706.2,7864,33731,99.5368272
2006,47,Carbon monoxide,1410.1,16006,42924,99.36055556
2006,48,Carbon monoxide,4642.1,52316,185835,99.69267413
2006,49,Carbon monoxide,1588.9,18142,38385,99.83583021
2006,50,Carbon monoxide,357,4042,16159,99.15905744
2006,51,Carbon monoxide,1908.7,21512,80145,99.77173588
2006,53,Carbon monoxide,2233.9,25459,46600,99.77646454
2006,54,Carbon monoxide,476.3,5164,26259,99.9196347
2006,55,Carbon monoxide,155,1706,8129,99.61764706
2006,56,Carbon monoxide,108.3,1088,8598,99.79108635
2006,72,Carbon monoxide,986.3,11230,15035,99.9138756
